root_comment_id,root_emotion,total_replies,same_emotion_count,propagation_rate,reply_emotion_distribution
UgwmkU0zkIL_K1wJaAp4AaABAg,sadness,1,0,0.0,{'anger': 1}
UgySIIAQ8QuUSB_o8S94AaABAg,anger,1,0,0.0,{'disgust': 1}
UgwODf4Fz7bwB_ue3pB4AaABAg,surprise,2,1,0.5,"{'surprise': 1, 'disgust': 1}"
Ugx26k29x9ls-ONWov54AaABAg,disgust,1,0,0.0,{'neutral': 1}
UgyvC-w_FK1BmLVnrlB4AaABAg,neutral,1,1,1.0,{'neutral': 1}
UgzBg_mfAL6xClxhnp14AaABAg,surprise,1,1,1.0,{'surprise': 1}
UgyO3MSdYhpsCe8XZut4AaABAg,neutral,2,0,0.0,{'anger': 2}
Ugx5ZuiMJy771C6fnV14AaABAg,surprise,1,0,0.0,{'neutral': 1}
Ugw5VbbIgwejDQd80YV4AaABAg,fear,1,0,0.0,{'neutral': 1}
UgwrNGlqB_ww718y61J4AaABAg,joy,1,0,0.0,{'neutral': 1}
Ugx1S4vo--9poE0jTHR4AaABAg,disgust,1,0,0.0,{'neutral': 1}
UgxL_MgdDcYKKrJ_BlZ4AaABAg,disgust,1,0,0.0,{'surprise': 1}
UgzBA-dkqr3irwOC_1V4AaABAg,neutral,1,0,0.0,{'surprise': 1}
UgxzmIMY82P3Oa-ugd54AaABAg,anger,1,0,0.0,{'surprise': 1}
Ugxkk1f5gpfhLe0SY8l4AaABAg,neutral,1,1,1.0,{'neutral': 1}
Ugxf_U3qvMDhJSI3MrR4AaABAg,disgust,1,0,0.0,{'joy': 1}
UgyMIj36PSIPUic7uEh4AaABAg,neutral,1,1,1.0,{'neutral': 1}
UgxL74dFHH6T1ZSlqgJ4AaABAg,anger,1,1,1.0,{'anger': 1}
UgzxDTaf_-wc1G4HK-Z4AaABAg,neutral,1,1,1.0,{'neutral': 1}
UgxO1KgAGa3itPS-tnl4AaABAg,neutral,1,1,1.0,{'neutral': 1}
Ugz3sF4fhJEgIeJ0Zzd4AaABAg,sadness,1,0,0.0,{'disgust': 1}
UgwWdb0DlQO5K8WwJWJ4AaABAg,surprise,1,0,0.0,{'disgust': 1}
Ugw35NG7_zAmv7HJGLl4AaABAg,anger,2,1,0.5,"{'anger': 1, 'neutral': 1}"
UgyxrWP8mO7CsRRW2H94AaABAg,neutral,4,1,0.25,"{'disgust': 3, 'neutral': 1}"
UgzMdel7EU1xVBeWrAB4AaABAg,neutral,7,3,0.42857142857142855,"{'fear': 2, 'neutral': 3, 'anger': 1, 'sadness': 1}"
UgzCYTMwTyIi5bHc8Jp4AaABAg,anger,2,0,0.0,"{'neutral': 1, 'disgust': 1}"
Ugz91bOoTpiv9-xFlVV4AaABAg,neutral,4,3,0.75,"{'neutral': 3, 'anger': 1}"
UgzLSYHfPGYf_rXYxmh4AaABAg,surprise,1,0,0.0,{'anger': 1}
Ugz2SsLyZr5BsInSnJl4AaABAg,anger,1,0,0.0,{'neutral': 1}
Ugxdyp7qXNXA7Riv7-14AaABAg,joy,1,0,0.0,{'anger': 1}
Ugxh9axXyWj-Oej1-DV4AaABAg,neutral,1,0,0.0,{'disgust': 1}
Ugyr3w_nGIx0x-MsQBJ4AaABAg,anger,7,1,0.14285714285714285,"{'surprise': 1, 'neutral': 4, 'disgust': 1, 'anger': 1}"
Ugw5RnX0Sg2p26chap94AaABAg,surprise,2,0,0.0,"{'neutral': 1, 'fear': 1}"
Ugz_oAl-HfKGxi02IdZ4AaABAg,anger,52,19,0.36538461538461536,"{'neutral': 18, 'disgust': 9, 'fear': 1, 'anger': 19, 'surprise': 2, 'sadness': 3}"
UgybLfBZP9GAr8w3N4d4AaABAg,disgust,24,5,0.20833333333333334,"{'neutral': 11, 'sadness': 2, 'anger': 2, 'disgust': 5, 'surprise': 1, 'fear': 2, 'joy': 1}"
Ugwa9lEQ47dhi6A6Ni14AaABAg,surprise,1,0,0.0,{'neutral': 1}
Ugxb9uQrpTdnR_8sJtF4AaABAg,disgust,40,10,0.25,"{'sadness': 1, 'surprise': 3, 'disgust': 10, 'neutral': 13, 'anger': 9, 'fear': 3, 'joy': 1}"
UgyeZwzMv-rKzoIFvCh4AaABAg,surprise,61,2,0.03278688524590164,"{'sadness': 4, 'anger': 18, 'neutral': 24, 'disgust': 8, 'surprise': 2, 'fear': 5}"
Ugx8Vvukvv9zY_UFK0Z4AaABAg,sadness,4,0,0.0,"{'disgust': 1, 'anger': 1, 'neutral': 2}"
UgxWc0z_wtE3bbdE6R54AaABAg,sadness,1,0,0.0,{'anger': 1}
UgxdUNAiags6FH2g3qN4AaABAg,surprise,1,0,0.0,{'neutral': 1}
