root_comment_id,root_emotion,root_sentiment,total_replies,same_emotion_count,emotion_propagation_rate,same_sentiment_count,sentiment_propagation_rate,reply_emotion_distribution,reply_sentiment_distribution
UgxgRKnVfnEJvCK0aHl4AaABAg,sadness,negative,1,0,0,0,0,{'neutral': 1},{'neutral': 1}
Ugxtyn2m4_S7jpkCd1V4AaABAg,neutral,neutral,1,0,0,0,0,{'disgust': 1},{'negative': 1}
UgyUT2hnlI8qLsbE-1h4AaABAg,surprise,positive,1,0,0,1,1,{'neutral': 1},{'positive': 1}
UgwRC2BnGMNVx7mlRzd4AaABAg,anger,neutral,1,0,0,0,0,{'sadness': 1},{'negative': 1}
UgxtSBdJT_507F1_OHJ4AaABAg,joy,positive,20,0,0,2,0.1,"{'surprise': 4, 'neutral': 8, 'disgust': 2, 'anger': 5, 'sadness': 1}","{'neutral': 11, 'negative': 7, 'positive': 2}"
Ugx1669sM17TbsqmjGx4AaABAg,sadness,negative,3,0,0,2,0.666666667,"{'neutral': 1, 'fear': 2}","{'neutral': 1, 'negative': 2}"
UgwMFAbEqPGOiNm4xCx4AaABAg,disgust,positive,2,1,0.5,0,0,"{'surprise': 1, 'disgust': 1}",{'negative': 2}
UgydGqRIGHg1GNI3Cdd4AaABAg,anger,negative,1,0,0,1,1,{'disgust': 1},{'negative': 1}
Ugx1cuFJpnFVPYhvo_14AaABAg,neutral,neutral,2,1,0.5,1,0.5,"{'anger': 1, 'neutral': 1}","{'negative': 1, 'neutral': 1}"
UgxOiTjmnuzZLDNjWsF4AaABAg,sadness,negative,6,2,0.333333333,2,0.333333333,"{'sadness': 2, 'surprise': 2, 'neutral': 2}","{'negative': 2, 'positive': 3, 'neutral': 1}"
UgxvKtzk-SbP6bUdKLx4AaABAg,disgust,negative,4,2,0.5,4,1,"{'neutral': 1, 'anger': 1, 'disgust': 2}",{'negative': 4}
